paramID,beta0,sigma0,kappa,delta,omega,gamma,rho,nPulse,theta,Nall,tc,tau,A
2090,1.0151e-01,3.9261e-02,3.7512e+00,6.4760e-01,9.4337e-02,1.7356e-03,3.25682,22,0.01674,1,"144.5|442.5|384.5|185.6|174.4|633.7|277.2|703.6|705.2|33.74|284|685.6|70.49|75.01|360.8|487.7|234.2|405.3|149.2|128|393.5|575.2","0.8171|2.153|4.529|10.98|0.7018|0.6712|4.378|2.133|0.2984|0.2318|1.492|0.5514|2.306|0.2867|0.8022|0.6591|0.8502|1.989|0.7746|0.5493|0.4165|1.22","0.01034|0.0006382|0.1148|0.0003997|84.56|0.112|36.43|10.36|0.003978|0.0002982|0.001137|0.1908|0.01635|0.1014|1.807|0.2841|0.1532|0.08389|45.55|0.2358|14.19|2.106"
2091,6.1281e-01,1.1561e-04,3.2904e+00,2.4044e-02,4.2928e-04,4.3564e-04,1.47205,57,0.71883,1,"493.3|571.5|698.2|323.7|84.83|36.99|321.7|270.7|372.9|113.7|587.6|191.7|282.2|46.72|302|427.2|474.6|158.3|649.5|550.2|59.81|437.9|174.3|597.1|362.9|204.4|557.6|605.8|617.2|113.3|400.7|242.4|74.66|316.3|550.4|312.5|328.8|256|180.2|398.8|389.1|332.9|99.44|162.3|690|485.6|439.5|54.97|293|469.4|673.8|19.55|702.4|377.8|428.3|600.9|596.4","11.78|6.099|0.2478|1.867|6.278|1.365|5.094|0.761|0.1857|1.14|0.8619|1.322|1.859|2.604|10.88|0.2538|2.576|2.867|0.2436|5.156|1.391|0.91|1.034|0.1768|0.2185|0.1831|5.256|0.2009|3.897|0.2013|0.8713|0.4949|0.2543|0.1689|0.5045|0.4676|3.191|5.811|0.341|0.3505|2.062|0.7678|3.666|0.7297|2.619|0.406|4.686|3.279|4.571|5.579|3.356|4.999|0.6191|0.1972|4.012|0.2707|2.824","1.6|0.001098|1.424|0.1086|9.376|5.152|0.228|0.1114|18.91|0.09088|0.003444|2.535|0.5752|0.000368|3.309|25.31|1.483|0.06519|0.01478|0.00387|0.5743|85.22|0.0009109|2.752|74.54|0.0009826|0.0008832|0.6538|0.0001847|0.03801|0.01102|0.3911|0.0002116|0.004946|0.0003963|0.000208|0.01515|0.1166|0.001645|5.617|0.0009086|0.02267|0.1076|31.3|97.33|0.000897|0.01949|0.0007594|0.0004218|0.02711|0.975|0.06212|0.782|0.3236|0.000343|0.5936|0.005008"
2092,9.2431e-01,2.9714e-03,7.4626e+00,1.3071e-02,7.6500e-04,7.8579e-04,1832.96231,33,0.01088,1,"671.8|34.53|300.4|496.7|471.1|619.9|581.5|119.9|609.4|157.3|19.54|140.1|416.3|304.9|534.8|275.3|17.47|400.3|374.8|184.1|243.8|633.5|53.96|369.5|673.7|52.68|386.8|497.8|233.8|445.3|584.7|427.3|167.1","4.591|0.2264|2.854|6.469|0.2626|1.029|5.562|4.516|3.048|4.083|11.92|1.808|0.6024|0.1703|4.064|11.66|0.3825|0.3175|0.2145|0.8229|5.836|6.737|4.025|0.9654|3.475|0.4473|1.441|2.524|3.693|9.423|1.776|3.96|0.9859","0.003264|3.201|25.43|0.1093|49.42|0.2779|3.142|0.0003641|20.38|2.359|0.08372|0.2178|1.544|0.3152|0.004471|0.1629|1.567|0.002071|0.08206|20.48|86.75|0.00043|0.0003147|0.009704|0.06738|0.1411|1.608|0.4168|0.01515|14.53|62.34|6.064|0.01511"
2093,8.1261e-03,2.3730e-02,5.5539e-01,3.0966e-03,2.4548e-04,2.3869e-04,2.60167,6,0.79335,1,"144.2|678.6|123.7|65.12|158.5|53.62","0.4287|0.1929|1.182|0.3292|8.821|0.9746","0.00075|2.274|0.01926|0.00057|0.0005108|0.008548"
2094,5.3713e-01,1.7751e-03,5.2203e-01,4.9512e-03,1.0423e-04,4.7418e-03,68.50116,1,0.76795,1,"503","0.1962","0.0002007"
2095,8.0512e-02,3.8701e-04,1.2047e+00,2.8211e-03,6.2320e-03,1.2266e-03,1.78593,46,0.99269,1,"536.1|333.1|611.6|7.005|534.6|376.2|673.4|184.4|35.08|379.3|7.579|313|129.1|177.7|287.2|291.9|56.5|88.91|266.9|113.2|576.2|99.56|248.7|48.7|77.76|24.15|204.8|359.7|532.5|565|344.5|278.9|389.4|48.83|71.5|47.62|269.4|141.6|111|108.2|560.2|538.2|351.6|474.3|417.8|45.67","0.8012|1.541|2.863|0.9247|1.045|0.2631|0.514|1.441|6.165|1.165|6.45|0.3282|0.2924|0.3531|8.124|5.235|6.123|0.731|0.1852|0.908|1.144|0.4892|2.832|0.2722|1.121|2.431|0.5013|1.792|1.38|0.5976|0.2618|0.799|0.2797|11.01|6.16|8.635|3.913|11.49|0.9858|0.4979|0.2991|2.583|0.2448|0.3999|9.133|0.3627","0.01322|0.001804|0.0001401|0.0001711|0.0003494|0.2877|0.0001974|0.07157|0.0005357|94.74|31.58|9.335|1.048|0.004726|0.6908|11.2|3.076|13.17|0.0005456|0.06429|0.0128|30.71|0.0002939|0.01517|17.38|28.91|0.0006347|1.374|25.95|1.29|7.491|27.1|0.1563|73.12|18.87|15.66|0.2217|0.1443|30.24|0.001312|0.0002223|0.07844|0.0365|1.248|37.73|0.06025"
2096,5.1259e+00,2.3339e-04,2.3463e-01,1.1556e-01,1.6288e-01,3.1647e-05,4.95734,11,0.55595,1,"446.1|679.8|12.72|461.3|174.4|614.9|327.3|415.8|595|141|63.78","1.826|7.239|2.74|1.2|0.8092|0.4423|7.32|7.558|0.5623|1.242|0.2045","79.28|6.432|15.08|0.001588|40.53|2.006|0.1485|0.3089|0.00518|0.001884|0.003758"
2097,1.0535e-02,1.7886e-03,2.7084e-01,1.3761e-04,1.5185e-03,1.1394e-03,1.60758,46,0.02648,1,"222.9|368.2|55.64|390.6|32.11|164.4|304.5|120.1|344.5|551.8|570.1|523.6|620.1|709.7|680.1|492.2|157.2|104|265.4|442.3|634.9|303.1|190.8|283|387.8|544.6|331.7|116.7|404.3|565.9|461|385.2|665.4|89.62|476.5|631.5|384.6|99.81|0.3995|296.9|133.6|114.7|392.6|159.5|621.7|342.1","8.532|0.8406|2.859|1.553|1.917|0.2402|0.2066|1.18|0.7163|0.4049|0.4582|0.6721|2.078|0.3386|0.2705|0.182|0.1908|0.4672|0.739|2.099|0.3263|0.2313|0.5071|2.594|5.875|5.27|8.825|2.549|0.5012|10.35|0.5876|0.4094|0.4628|2.421|0.3598|2.774|0.7686|5.299|2.471|5.534|7.444|1.35|1.355|1.713|0.3864|6.454","6.352|0.002976|0.001306|0.1895|0.1363|0.02868|13.23|0.006117|0.02158|0.006248|0.1501|17.22|0.02193|0.03656|0.02461|0.06588|0.0003915|0.4461|3.539|0.1483|0.4501|29.61|0.0396|18.37|33.76|0.0001285|0.008331|0.001901|0.09621|0.001024|1.336|3.454|0.005882|35.83|0.02033|0.0193|0.0006155|0.001092|7.52|6.774|0.5082|0.04997|0.5926|32.83|6.486|47.56"
2098,1.3198e+00,5.7686e-04,4.8859e+00,2.9599e-02,2.0244e-01,5.1036e-04,15.78152,5,0.01596,1,"219.7|11.01|279.9|310.6|377","0.2633|0.5002|1.401|5.626|0.4782","0.001846|0.0064|0.001291|6.954|0.0399"
2099,6.5876e-03,2.7592e-01,1.0285e-01,4.6470e-01,1.2607e-02,5.9349e-05,1.49378,2,0.57698,1,"664.3|304.9","3.326|0.2","12.24|97.01"
2100,4.3588e+00,2.3113e-04,1.1916e+00,8.9379e-04,8.5986e-03,5.0659e-03,124.30579,5,0.16456,1,"236|593.5|6.265|669.1|127.3","1.441|3.971|11.37|1.858|1.942","0.2026|0.4722|0.04814|0.04303|0.0002163"
2101,1.9882e-03,5.1403e-02,5.4769e-01,1.6269e-02,1.2470e-01,4.3855e-05,1.27269,29,0.67432,1,"607.4|141.2|684.7|517.7|427.5|442.6|210.3|675.7|360.8|402.9|584.3|374.9|610.9|52.98|42.57|491.5|452.3|534.7|512.7|203.2|325.4|424.7|224.6|160.7|661.2|641.9|258.1|209.4|667.6","3.149|7.306|0.6582|0.5415|4.802|0.4526|0.1885|4.271|0.5765|0.3207|0.2267|5.392|0.2034|0.3871|0.395|0.4066|3.274|2.857|0.9852|0.7311|0.544|1.024|1.836|5.827|1.092|0.2605|3.879|8.009|0.182","0.002081|0.0002007|0.006308|0.003144|0.04404|0.0002452|0.0008446|0.006288|0.6664|0.226|0.2105|4.222|0.01026|4.76|3.834|1.403|0.0001227|0.0002856|0.001665|0.3761|0.07798|0.0009857|4.728|0.0001219|0.00763|0.6571|1.866|0.1129|0.003161"
2102,2.6684e-01,3.5616e-04,1.1010e-01,5.3691e-04,5.5916e-02,2.0718e-05,4.77157,13,0.96349,1,"545.1|178.7|297.3|110.9|474|396|82.8|191.4|356|567.7|151.7|6.865|532.3","8.767|9.354|3.955|0.8373|0.4504|0.2081|0.2175|1.319|9.784|0.5163|0.9363|4.471|0.2115","0.3087|0.02781|15.55|0.02672|4.433|0.0001968|0.0001411|0.0001077|33.52|0.0002835|2.449|0.0001627|0.0005394"
2103,1.6724e+00,1.0934e-03,7.1465e-01,1.2261e-04,1.1701e-01,5.9085e-05,1185.07279,68,0.36280,1,"286.8|391.1|578.4|403.8|690.5|83.36|460.7|259.3|402.4|253|422|520|569.4|32.89|693.7|168.7|275.8|120.5|181.7|617.8|309.2|520.6|4.545|191.4|657.5|660|205|420.2|450.1|191.1|225.2|237.9|277.9|587.1|293.1|453.7|538.6|680.5|97.76|700.7|411.1|404.2|328.9|340.1|716.2|110.9|145.2|556.6|42.18|591.1|639.8|594.1|365.6|430.9|91.03|666.4|688.9|379.9|46.52|107.4|82.71|342.6|91.42|76.78|504.5|232.9|443.6|268.7","6.485|0.3717|4.98|0.2146|0.2102|0.707|1.784|0.4578|2.579|0.3751|0.7844|0.7864|0.3424|0.1871|9.509|3.455|6.89|0.8515|0.6137|1.181|2.388|0.7342|1.323|0.4922|0.3539|0.8742|2.798|10.17|2.627|6.971|1.034|0.4322|0.2033|1.542|6.239|0.5186|1.881|5.861|0.1911|0.4138|3.307|0.8387|6.03|2.443|1.526|0.5864|0.3356|2.915|2.141|7.075|0.2569|5.753|2.792|3.256|9.732|3.052|6.796|0.5442|0.5065|0.3079|0.1813|0.3274|1.137|5.579|0.4405|1.314|0.4358|0.471","1.335|0.002275|0.0001002|15.77|0.0003896|5.938|0.08766|0.2651|97.71|1.975|21.52|63.05|0.0001355|0.02458|5.758|0.0001845|43.25|0.0003132|0.00624|10.11|0.1058|0.3385|0.08371|0.1225|0.0007135|24.64|0.0004391|0.0009393|1.818|66.58|0.001627|0.2768|58.91|0.0003758|0.05013|17.35|0.0007316|24.68|31.68|0.001282|75.72|0.6916|4.793|3.033|0.0003498|7.13|39.41|0.007954|0.06174|0.002872|0.004297|26.02|0.02532|0.0004287|0.5314|0.01502|0.0001438|0.2005|1.08|0.1019|46.15|0.0005429|0.001073|56.36|1.128|0.01356|0.0733|0.004183"
2104,2.1999e+00,1.2433e-03,1.3545e+00,1.5683e-01,3.2316e-01,3.8466e-05,15.70410,35,0.97668,1,"9.336|447.8|210.9|698.5|571.4|542.8|323.8|244.5|428|52.67|668.5|533.3|132.8|471.6|531.9|171.3|675.1|427.2|579.6|67.17|565.7|55.48|209|538|541.1|421.6|481.8|715.4|686.3|218.5|131.6|112|674.8|449|622.4","8.413|3.129|1.629|0.53|0.3103|0.7592|0.5675|0.3722|0.9999|6.649|1.11|1.08|3.322|2.779|2.029|0.7952|0.2788|0.6067|0.4245|5.538|0.3639|1.588|0.8412|0.3196|2.369|2.03|0.7994|1.181|0.786|0.5664|0.3429|1.794|0.9128|0.6854|4.095","0.0007116|0.2546|0.0003187|0.0001067|0.06512|0.0002632|0.02734|0.01079|2.025|32.99|0.1124|59.65|0.006395|26.09|0.005506|0.4543|0.0003689|91.04|0.1517|0.1599|2.604|0.2285|2.873|3.43|16.41|0.2681|0.0002608|0.1867|1.586|0.2292|0.001877|0.0347|7.131|0.0004692|0.001168"
2105,6.2630e-03,5.4877e-02,1.2032e+00,2.9609e-04,1.2686e-03,2.7850e-05,2.57290,1,0.35020,1,"646","1.184","0.0003032"
2106,3.0564e+00,8.1968e-03,6.0264e+00,4.0045e-01,4.9404e-01,9.8283e-05,470860.82717,19,0.91428,1,"46.27|296.6|416|235.7|66.63|335.4|117.7|635.5|462.4|617.4|150.2|167.1|405.7|156.1|676.6|655.2|527.3|317.6|207.8","4.393|0.663|1.913|0.5038|2.559|0.7986|0.187|1.593|0.2403|0.62|0.1688|3.537|3.561|1.295|2.881|0.3391|0.2032|11.37|11.73","0.001641|0.1336|0.003174|0.2432|2.313|0.001099|7.931|0.002215|14.4|0.01593|0.04018|12.48|27.2|0.0001224|0.04008|2.748|0.8943|0.2775|36.27"
2107,1.7744e-01,5.9891e-02,3.0181e+00,3.3682e-02,3.8980e-03,1.0073e-05,73268.28545,2,0.61761,1,"234.5|33.69","0.8658|0.1934","0.001115|92.83"
2108,1.6657e-01,2.9873e-01,3.1541e+00,4.2435e-02,1.2976e-01,5.1921e-02,114293.55440,80,0.21050,1,"139.1|270.6|548.4|260.8|713.2|192|601.9|460.6|379.7|82.91|699.5|625.1|655.5|543.5|60.34|665.3|700.5|644.4|317.2|347.6|407.8|426.2|299.6|339|429.9|50.4|486.5|296.5|593.7|213.5|96.06|364.5|292.8|685.8|330.6|13.68|618.7|173.3|134|707.2|154.5|115.4|536.6|150.4|6.349|686.5|705.2|668.4|427.8|605.2|124.7|650.3|489.7|70.56|82.85|450.8|584.3|289|535.3|539.5|352.2|483.9|622.6|382.5|576.5|313.7|410.1|35.78|266|52.46|422.7|553.6|563.7|716.4|280.7|208.4|301.4|343.6|494.4|150.9","1.284|0.7441|0.1756|1.544|2.078|0.1887|0.5967|3.269|0.6878|6.624|1.377|0.4179|6.14|1.721|0.6559|6.084|0.4136|0.1962|0.608|0.6276|0.3093|4.776|3.5|5.285|5.24|0.3318|6.466|0.3089|3.599|0.318|0.5111|0.229|5.506|1.755|0.8361|3.006|3.002|0.2248|3.856|7.466|2.279|0.3984|4.903|0.5505|0.4503|0.3853|1.443|0.3801|0.227|2.83|5.821|2.237|0.7853|5.725|0.182|5.938|0.4319|2.435|3.797|9.128|0.6806|5.9|2.257|0.3184|0.2433|6.261|0.2443|3.322|0.2446|10.65|0.311|5.923|0.4514|1.553|1.314|1.25|0.4688|2.797|11.49|9.671","1.678|0.3374|0.01748|0.6|4.969|2.444|0.5877|18.16|5.24|0.000378|0.008489|0.03289|0.1769|0.0002274|0.001122|0.01443|0.01327|28.94|65.96|0.2821|2.015|3.448|18.78|1.554|0.0008276|0.004187|0.7083|0.3274|0.000279|1.962|0.1571|1.847|0.04481|0.003897|0.00015|56.8|0.01629|0.001273|15.08|1.556|17.7|0.7088|6.869|2.584|15.2|10.34|0.0006349|0.7795|1.768|0.001524|0.7688|0.2277|24.62|0.0001256|1.537|1.447|0.0005332|2.246|0.003146|32.8|39.01|6.177|0.1589|63.16|0.04476|4.998|0.07994|6.405|0.0001817|0.01936|0.008478|0.2731|2.493|0.0001118|89.95|0.0002579|0.0001768|0.0004978|0.303|3.877"
2109,1.5981e-03,5.2639e-04,1.0103e+00,1.1106e-04,2.6614e-04,5.0431e-04,1.06034,28,0.31186,1,"394.7|501.9|152.7|477.2|28.12|100.1|34.25|136.4|396.3|73.12|145.1|393.9|63.27|272.4|388.5|617.8|12.36|602.8|605.1|664.7|246.4|64.92|323|450.7|46.31|612.1|147.7|235.6","9.037|8.057|8.663|6.398|0.4777|8.452|1.706|6.567|1.324|1.85|0.8262|1.077|0.8888|2.915|0.6437|1.135|2.61|3.388|6.053|0.8865|0.2463|3.824|5.98|0.2023|0.4412|11.73|0.1685|2.059","14.84|0.001812|0.001715|0.005124|0.002284|0.631|7.242|1.555|14.12|73.45|0.007534|0.003178|5.073|0.002468|0.05156|0.001263|1.076|5.392|0.2456|8.434|0.001468|0.002514|0.3062|0.008821|1.873|5.012|0.4045|0.01796"
2110,6.7601e-03,5.6813e-03,1.6795e+00,5.2153e-03,3.7239e-02,2.3040e-03,1.17124,9,0.95251,1,"399.1|84.36|574.4|355.4|356.1|365|241.2|582.1|64.95","1.152|0.2052|0.2513|9.836|0.7035|0.7121|0.552|2.884|0.2848","0.4074|0.2463|0.003218|4.972|0.003142|0.251|0.0002513|0.07753|1.474"
2111,8.1230e-02,1.1906e-02,9.2998e-01,3.1646e-01,9.5259e-03,3.5524e-05,1.67164,9,0.37161,1,"518.7|507|235.6|198|498.2|512.4|515|711.2|483","1.123|3.72|7.157|0.5797|2.267|0.4733|2.605|1.232|3.476","68.05|11.89|0.009117|6.933|0.002948|0.01262|61.1|0.02644|0.001142"
2112,3.8163e-01,8.0424e-04,1.2315e-01,3.6932e-02,7.5123e-03,1.3859e-05,3.17016,20,0.28629,1,"389.9|514|425.1|27.53|557.1|515.4|700.7|122.2|255.8|295.6|127.7|401.4|639.3|20.44|606.8|484|243.8|557.5|635.8|585.5","3.075|8.599|2.148|8.296|4.105|0.6875|0.6326|3.441|0.2238|0.5251|2.689|9.892|1.371|0.3288|3.206|10.9|1.368|1.894|3.284|0.8817","0.7576|0.01811|0.001269|0.0001999|1.95|0.0006652|0.01813|1.094|54.11|0.1336|42.95|0.02074|0.0008252|0.002936|11.16|13.85|0.06507|0.03931|37.25|55.72"
2113,8.8806e-02,1.3385e-04,2.4985e-01,7.6984e-04,8.0503e-03,4.4760e-04,1.59514,4,0.22894,1,"181.7|19.55|233.5|26.11","8.181|4.645|6.294|0.2628","0.001159|39.69|0.7872|13.51"
2114,1.9375e-01,4.9485e-02,6.5027e-01,2.4926e-03,1.2882e-01,5.0611e-02,2550.16307,3,0.03622,1,"102|508.2|157.9","1.357|0.204|2.655","0.002167|79.32|0.004182"
2115,2.6762e+00,4.3710e-03,7.0890e+00,1.2219e-01,4.7994e-03,5.4537e-03,64397.63076,1,0.01307,1,"552.5","3.213","2.536"
2116,3.3166e+00,2.2690e-04,1.2435e-01,9.4167e-04,2.4509e-04,6.2160e-04,86.35968,5,0.82878,1,"367.3|653.4|491.6|164.3|83.9","1.085|0.5781|0.248|1.014|7.834","1.643|0.001173|87.82|0.1052|0.000562"
2117,2.8646e+00,1.3679e-04,3.1351e-01,6.5436e-04,1.3176e-03,1.4412e-05,26.01245,2,0.11824,1,"385|305.2","2.195|5.391","0.001435|50.69"
2118,2.0483e-01,1.2132e-03,2.0802e+00,5.6647e-03,6.8502e-02,3.4028e-04,8.15741,8,0.73685,1,"337.7|612.5|443.6|39.08|428.7|579.2|51.6|139.8","2.729|5.336|2.393|0.7235|0.3836|4.866|3.431|10.65","0.7965|0.0008556|0.007503|0.02336|71.96|0.2465|85.52|0.00224"
2119,7.3859e-02,7.0060e-01,7.2158e+00,6.6604e-01,2.2111e-01,1.2366e-03,2196.40367,7,0.89976,1,"614.4|589.6|412.3|349.3|270.9|635.6|363.8","0.9912|0.9276|0.4723|2.156|0.27|2.036|3.628","0.004951|19.56|0.0007999|0.002902|0.0009528|1.007|0.02357"
2120,4.3974e-02,7.1814e-02,6.4072e+00,6.6044e-02,8.7027e-03,3.1067e-03,22.50334,5,0.14890,1,"409.4|447.3|517|532.1|593.9","0.1689|0.1767|0.5288|0.2254|2.539","0.001451|12.26|0.4732|80.3|0.0002321"
2121,2.8054e+00,1.8178e-02,4.6644e-01,9.9743e-01,1.7075e-02,1.9492e-03,2895.11209,47,0.96639,1,"384.3|491.1|26.11|284.1|99.19|446.6|718.7|151.2|654|492.7|641.8|559.6|645.6|70.57|704.5|613.3|551.2|21.8|75.59|325.3|394.8|410.8|664.9|196.3|635.9|259.5|386.9|406.7|471.1|314.2|118.2|439.1|542.2|383.3|301.2|455.9|135.1|504.2|529.4|413.4|95.93|441|482|624.3|153.4|394.8|320.9","0.8408|1.127|9.899|4.203|4.545|1.289|0.2218|0.5348|2.61|9.363|0.2147|2.268|0.2415|2.061|0.8855|8.486|0.4466|1.133|2.492|3.211|10.79|0.2354|0.1839|2.533|0.5934|0.4787|0.3778|2.989|0.3644|0.1726|0.2073|9.171|0.7392|4.439|3.422|0.2997|0.5381|0.388|1.05|0.3021|1.099|11.74|11.28|0.8656|0.8973|0.3247|7.222","0.1121|0.001526|17.8|0.0002162|0.009984|0.6434|0.06873|4.009|0.001231|0.0001004|0.0001624|0.0004105|19.26|0.0005707|8.071|0.0003819|0.0001175|7.264|10.28|73.87|4.089|0.003314|3.286|0.0009243|0.7982|0.006184|3.61|0.0001037|0.001449|5.143|0.002044|0.0004031|15.22|6.497|0.6176|0.146|0.004257|0.03668|0.0006793|16.48|3.054|0.001008|0.9678|0.001252|0.006253|23.84|1.325"
2122,7.3987e-03,8.8621e-02,4.8552e+00,4.5199e-01,6.4288e-04,9.9065e-04,1.15110,100,0.00706,1,"238.5|502.6|619.8|194.5|333.7|329.7|117.3|178|612.6|516.6|214.8|544.7|448.9|115.6|562.2|221.2|214.8|640.6|681.3|668.4|21.41|619.2|631.4|706|95.18|475.6|478.3|561.4|640.7|82.11|531.1|406.7|458.7|453.4|2.599|386.6|318.4|123.1|216.4|370.1|257.7|242.1|14|409.5|11.35|380.3|604.1|480.4|561.6|89|553.6|605.4|476.6|37.49|41.18|486.8|113|62.52|20.06|157.3|157.2|404.1|482.6|124.3|305|100.4|97.45|253.7|156.8|527.4|447.9|55.58|484.4|635.5|334.4|598.2|42.25|16.88|415.6|669.1|272.5|712.5|692.5|303.7|15.88|369.2|673.2|589.2|541.8|332.4|240.6|538.7|65.13|359.9|139.5|170.1|211.2|207.1|13.18|383.7","1.614|0.2851|3.325|4.831|0.9473|0.173|2.028|0.2967|0.2997|10.91|2.971|0.6156|1.252|2.767|0.2392|1.035|3.238|0.3293|0.9884|4.073|1.207|7.602|0.2748|0.7641|0.2681|6.783|0.923|7.289|5.971|0.6361|0.3158|0.5613|0.9355|6.754|0.9176|1.265|8.09|0.4507|0.3204|9.128|0.6521|6.73|2.379|1.156|1.324|9.609|10.54|0.4593|0.7643|1.045|0.3136|4.966|4.009|1.811|7.262|0.4022|0.2095|0.2001|0.7084|7.765|6.627|3.439|10.44|1.676|0.3601|5.784|3.465|2.636|0.7214|1.432|0.2116|4.423|0.6592|6.851|10.95|0.6029|9.036|5.147|0.2263|1.714|1.122|2.28|1.034|2.621|1.639|0.4008|0.2547|0.7873|0.4877|0.4768|1.976|2.266|0.1864|2.164|1.807|4.533|0.1886|1.935|1.182|0.3194","5.619|0.0006723|0.0007874|0.001406|0.1114|0.01052|0.465|0.2928|1.341|0.1904|0.04046|0.0002212|1.376|17.94|33.43|0.0008871|0.01816|24.23|0.0001166|95.75|31.66|52.19|3.14|3.688|10.52|3.118|7.001|28.9|0.0003402|7.485|6.708|0.0008475|0.1231|0.01827|0.0003666|0.001786|27.28|0.0005572|0.02935|14.54|0.1004|0.04111|0.000718|0.1223|0.1906|7.38|60.87|14.39|20.96|0.02479|20.29|59.25|41.63|0.0002914|0.2886|0.000749|0.000816|0.3481|23|40.22|0.0001195|0.01918|0.08052|0.4113|0.0004807|0.003616|0.004712|7.733|0.02257|0.01872|0.003436|0.01035|0.3491|68.63|0.0002881|0.00473|0.005146|0.1069|0.0001006|0.0003499|1.583|0.0001273|0.0003536|0.002542|16.85|0.5332|16.51|10.72|0.0001342|0.09869|1.349|0.8052|1.015|0.03117|0.0003017|0.135|0.0003374|26.53|0.02821|32.63"
2123,6.9362e-01,5.3512e-03,1.1570e+00,1.2558e-03,4.2139e-03,6.8265e-05,16142.97098,88,0.02372,1,"491.6|264.6|230.9|649.5|639.6|704.6|548.4|576.1|574|277.7|252.4|508.9|284|65.37|426.4|156|65.76|716.9|598.7|325.4|655.3|567.4|481.1|431.2|129.2|413.1|615.3|459.6|409|215.9|465.1|580|155.2|221.5|509.9|140|470.1|486.4|513.2|232.5|242|345.6|476.3|665.2|56.46|57.06|34.79|422.2|636.2|200.7|399|109.9|92.88|351|136.3|185.4|625.2|645.8|32.03|407.5|200.1|225.4|174.1|500.3|79.04|386.6|419.5|2.372|554.2|2.826|113.1|237.4|698.2|544.8|366.4|294.3|180.5|36.89|646.3|195|451.1|40.16|288|514.8|0.2168|141|563.1|208.2","0.2561|1.066|5.26|6.911|6.053|5.775|0.2264|0.9002|0.1781|0.7291|0.6639|0.6881|0.322|2.188|0.3386|0.1732|0.5578|0.5326|1.727|11.98|0.2168|0.7435|0.4549|11.66|0.8815|0.214|0.2259|1.558|2.658|0.3279|10.53|2.614|0.8679|0.4713|0.3877|4.782|1.364|0.3135|0.7526|1.319|6.638|0.9897|2.52|1.08|0.7272|1.922|4.893|2.542|1.761|0.2681|1.315|1.058|8.925|2.453|1.093|2.233|2.147|1.568|0.5648|1.932|0.2257|1.253|6.155|0.7129|3.273|0.8337|1.673|6.786|0.1986|1.63|6.834|0.6291|5.886|0.2663|1.218|0.2296|0.1917|2.669|0.7995|0.1911|6.701|4.469|0.4935|1.312|1.895|6.414|1.28|10.68","0.003169|0.1124|0.0003317|0.02349|39.48|0.0001169|4.492|0.0006453|0.2235|0.08191|0.001676|0.00208|40.15|0.0006899|0.1688|3.577|0.7769|0.0001233|0.0002157|0.5471|0.5172|0.2516|17.09|0.0001321|0.1364|0.06267|54.1|0.3406|0.1689|0.564|4.622|0.2381|0.01481|16.22|0.0002282|10.9|5.17|0.00117|0.007152|0.003024|7.625|2.709|48.5|0.005711|0.1316|0.03159|4.888|0.02879|25.29|0.1115|0.0002753|0.01905|0.002319|1.667|2.242|0.0001662|0.2753|0.5149|0.176|9.721|0.0006649|0.005956|0.001859|0.002207|0.2307|0.01461|0.01043|0.0008882|0.2152|17.57|10.57|0.0004654|58.31|0.0002965|0.001534|0.007806|0.001843|0.0003156|0.01863|20.06|0.005989|3.316|0.005818|0.01974|0.0009762|1.02|0.0003713|0.0001491"
2124,6.0493e-01,7.8924e-03,5.5143e-01,7.4746e-01,2.5387e-04,6.1635e-04,2.70240,3,0.45886,1,"716.9|4.754|645.3","0.2564|3.089|0.2957","0.1755|0.0002689|0.002324"
2125,8.2703e+00,8.1301e-04,3.4548e+00,1.4764e-02,2.2262e-02,2.1006e-04,274394.18716,10,0.13499,1,"483.5|536.6|383.5|253.4|601.3|665.8|315.8|128.9|441|486.2","7.614|5.28|1.434|0.9716|0.7931|0.222|0.3529|2.793|0.37|0.5312","0.005666|0.1207|0.005164|3.765|0.0006768|7.73|0.4774|0.6548|0.1361|0.08048"
2126,4.7636e-02,2.0614e-01,8.8199e-01,3.0878e-03,1.7148e-01,2.6908e-05,756.84524,2,0.02880,1,"702|602.1","0.4059|2.534","0.001675|4.734"
2127,2.2639e-02,2.2008e-02,2.2837e-01,1.8044e-02,5.2859e-03,1.3337e-04,5.23287,5,0.49643,1,"262.1|341.4|157.3|227.6|482.2","7.217|0.2063|9.791|4.436|1.098","0.8843|7.458|0.0001135|0.618|0.03386"
2128,3.7326e-01,1.2503e-02,1.2859e-01,3.9651e-02,1.2867e-01,1.2929e-05,2704.07946,25,0.55659,1,"78.95|172.2|124|51.89|157.1|681.4|638.8|248.5|223.8|548.5|619.8|467|653.8|352.4|698.9|367.5|474.9|418.8|207.9|58.82|666.9|111.9|573.9|141.2|52.35","0.3663|4.945|0.2759|0.2297|2.306|0.1751|10.57|3.813|0.3982|11.04|0.5298|0.5843|1.931|0.5789|4.362|2.118|3.98|0.2422|3.03|5.708|0.2565|7.843|0.3422|3.715|0.304","10.69|0.0001765|0.007238|0.0954|0.001269|7.751|12.94|1.812|0.0001511|0.03865|0.04521|0.09276|0.001514|3.851|2.376|0.001858|0.3247|0.0004356|0.07163|0.1288|0.0002633|2.025|26.61|0.0008958|0.0577"
